Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,Status
vogue-basic-n3,Vogue Basic N3,<p>De Vogue Basic N3 is een betrouwbare elektrische damesfiets voor dagelijks gebruik. De stille AKM voorwielmotor biedt soepele trapondersteuning terwijl de Shimano Nexus 3-naaf zorgt voor eenvoudig en onderhoudsvriendelijk schakelen. De 468 Wh accu geeft ruim voldoende bereik voor woon-werkverkeer en dagelijkse ritten.</p><ul><li>Stille AKM voorwielmotor</li><li>Shimano Nexus 3 versnellingsnaaf</li><li>468 Wh accu</li><li>Damesframe</li></ul>,Vogue,Elektrische fiets,"elektrische-fiets, vogue, damesfiets, voorwielmotor, shimano-nexus-3, 468wh",TRUE,Kleur,Mat Zwart/Bruin,,,shopify,deny,manual,1049.00,1299.00,TRUE,TRUE,,,,FALSE,active
vogue-basic-n3,,,,,,,,Groen,,,shopify,deny,manual,1049.00,1299.00,TRUE,TRUE,,,,,active
vogue-basic-n3,,,,,,,,Mat Zwart,,,shopify,deny,manual,1049.00,1299.00,TRUE,TRUE,,,,,active
vogue-journey-s,Vogue Journey S,<p>De Vogue Journey S is een veelzijdige elektrische fiets voor de actieve fietser. De krachtige Bafang achterwielmotor en 7-speed derailleur maken hem ideaal voor langere ritten en licht glooiend terrein. De ruime 522 Wh accu zorgt voor een uitstekende actieradius.</p><ul><li>Krachtige Bafang achterwielmotor</li><li>7-speed derailleur</li><li>522 Wh accu</li></ul>,Vogue,Elektrische fiets,"elektrische-fiets, vogue, achterwielmotor, bafang, 7-speed, 522wh",TRUE,Kleur,Mat Zwart/Bruin,,,shopify,deny,manual,1995.00,2599.00,TRUE,TRUE,,,,FALSE,active
vogue-journey-s,,,,,,,,Mat Zwart,,,shopify,deny,manual,1995.00,2599.00,TRUE,TRUE,,,,,active
vogue-elite-n7,Vogue Elite N7,<p>De Vogue Elite N7 combineert stijl en functionaliteit in een elegante elektrische damesfiets. De stille AKM voorwielmotor en Shimano Nexus 7-versnellingsnaaf geven je meer schakelcomfort voor elke situatie. De 468 Wh accu biedt ruim voldoende bereik voor de dagelijkse fietser.</p><ul><li>Stille AKM voorwielmotor</li><li>Shimano Nexus 7 versnellingsnaaf</li><li>468 Wh accu</li><li>Damesframe</li></ul>,Vogue,Elektrische fiets,"elektrische-fiets, vogue, damesfiets, voorwielmotor, shimano-nexus-7, 468wh",TRUE,Kleur,Mint Blauw,,,shopify,deny,manual,1249.00,1449.00,TRUE,TRUE,,,,FALSE,active
vogue-journey-plus,Vogue Journey Plus,<p>De Vogue Journey Plus biedt een superieure rijervaring dankzij de stille Ananda middenmotor voor optimale gewichtsverdeling en stabiel rijgedrag. De 7-speed derailleur en 522 Wh accu maken hem perfect voor zowel korte als lange ritten in diverse omstandigheden.</p><ul><li>Stille Ananda middenmotor</li><li>7-speed derailleur</li><li>522 Wh accu</li></ul>,Vogue,Elektrische fiets,"elektrische-fiets, vogue, middenmotor, ananda, 7-speed, 522wh",TRUE,Kleur,Mat Zwart/Bruin,,,shopify,deny,manual,2198.00,2799.00,TRUE,TRUE,,,,FALSE,active
vogue-journey-plus,,,,,,,,Mat Zwart,,,shopify,deny,manual,2198.00,2799.00,TRUE,TRUE,,,,,active
vogue-caddy,Vogue Caddy,<p>De Vogue Caddy is een stijlvolle elektrische fiets met een efficiënte Bafang achterwielmotor en een ruime 468 Wh accu. De 7-speed derailleur biedt prettig schakelen in alle situaties. Een uitstekende keuze voor de moderne fietser die comfort en stijl wil combineren.</p><ul><li>Efficiënte Bafang achterwielmotor</li><li>7-speed derailleur</li><li>468 Wh accu</li></ul>,Vogue,Elektrische fiets,"elektrische-fiets, vogue, achterwielmotor, bafang, 7-speed, 468wh",TRUE,Kleur,Mat Zwart/Bruin,,,shopify,deny,manual,1848.00,2049.00,TRUE,TRUE,,,,FALSE,active
vogue-caddy,,,,,,,,Mat Zwart/Grijs,,,shopify,deny,manual,1848.00,2049.00,TRUE,TRUE,,,,,active
vogue-mini-6sp,Vogue Mini 6SP,<p>De Vogue Mini 6SP is een compacte en lichtgewicht elektrische fiets met een stijlvol design. De AKM achterwielmotor en 6-speed derailleur zorgen voor een prettige rijervaring in de stad. De 281 Wh accu is ideaal voor dagelijkse ritten over korte tot middellange afstanden.</p><ul><li>AKM achterwielmotor</li><li>6-speed derailleur</li><li>281 Wh accu</li><li>Compact en lichtgewicht</li></ul>,Vogue,Elektrische fiets,"elektrische-fiets, vogue, achterwielmotor, akm, 6-speed, 281wh, compact",TRUE,Kleur,Donkerblauw,,,shopify,deny,manual,749.00,1199.00,TRUE,TRUE,,,,FALSE,active
vogue-carry-2,Vogue Carry 2,<p>De Vogue Carry 2 is een krachtige elektrische fiets met de betrouwbare Ananda M81 middenmotor. De Shimano Nexus 8-versnellingsnaaf en 540 Wh accu maken dit een uitstekende allrounder voor dagelijks gebruik en langere tochten.</p><ul><li>Ananda M81 middenmotor</li><li>Shimano Nexus 8 versnellingsnaaf</li><li>540 Wh accu</li></ul>,Vogue,Elektrische fiets,"elektrische-fiets, vogue, middenmotor, ananda-m81, shimano-nexus-8, 540wh",TRUE,Kleur,Zwart,,,shopify,deny,manual,2668.00,2899.00,TRUE,TRUE,,,,FALSE,active
vogue-carry-2,,,,,,,,Grijs,,,shopify,deny,manual,2668.00,2899.00,TRUE,TRUE,,,,,active
vogue-carry-2,,,,,,,,Zwart/Bruin,,,shopify,deny,manual,2668.00,2899.00,TRUE,TRUE,,,,,active
vogue-carry-3,Vogue Carry 3,<p>De Vogue Carry 3 is gebouwd voor de fietser die het beste wil. De krachtige Ananda M81 motor en Shimano Nexus 8-naaf zorgen voor soepel schakelen in elke situatie. De 540 Wh accu biedt een uitstekende actieradius voor zowel de stad als buiten.</p><ul><li>Krachtige Ananda M81 motor</li><li>Shimano Nexus 8 versnellingsnaaf</li><li>540 Wh accu</li></ul>,Vogue,Elektrische fiets,"elektrische-fiets, vogue, middenmotor, ananda-m81, shimano-nexus-8, 540wh",TRUE,Kleur,Zwart,,,shopify,deny,manual,2699.00,2899.00,TRUE,TRUE,,,,FALSE,active
vogue-carry-3,,,,,,,,Grijs,,,shopify,deny,manual,2699.00,2899.00,TRUE,TRUE,,,,,active
vogue-carry-3,,,,,,,,Zwart/Bruin,,,shopify,deny,manual,2699.00,2899.00,TRUE,TRUE,,,,,active
